name,location,url,description
Alpha Bravo Canine,"Philadelphia, PA",http://alphabravocanine.org/,"Alpha Bravo Canine’s mission is to provide trained service dogs to U.S military veterans suffering from Post-Traumatic Stress Disorder (PTSD), Traumatic Brain Injury (TBI), and other combat related disabilities."
Alpha K-9,"Sacramento, CA",http://www.alphak9.org/,"Alpha K9 donates time, equipment and training in order to provide PTSD service dogs to veterans, first responders and children in a hope that a PTSD service dog will provide the recipient with an opportunity to live a more normal life and alleviate the stressors that are preventing them from entering society. Alpha K9 has already donated multiple service animals in 2012 to both veterans and kids in the local community and plans to continue to provide PTSD service dogs."
American Humane Association,None,http://www.americanhumane.org/program/military/,"Given the increasing number of veterans returning from long deployments—often serving multiple consecutive tours as never seen before in the U.S. military—and many requiring mental health services, rates of mental health care use have steadily increased, taxing the health care system at large and creating a need for additional support sources. American Humane Association can meet this need through the Service Dogs for Veterans program, which assists veterans in adopting and training a shelter dog as a service dog."
America's Vet Dogs,Nationwide,http://www.vetdogs.org/,"America’s VetDogs® – The Veteran's K-9 Corps® is a not-for-profit organization founded by the Guide Dog Foundation for the Blind and serves the needs of disabled veterans and active duty personnel. Since 1946, the Guide Dog Foundation has provided guide dogs and training at no cost to people who are blind or visually impaired, including veterans."
Assistance Service Dog Educational Center,"Woodlake, CA",http://www.servicedogcenter.org/veteran_servicesdonations,"ASDEC is helping veterans with post-traumatic stress disorder. The need for service dogs to aid war veterans with post-traumatic stress disorder is critical. This disorder affects about 5.2 million Americans or about 30% of war veterans. Currently the Veteran's Administration will not pay to supply the veterans with service dogs. To fill this need, ASDEC provides dogs for veterans at no or low cost. We have successfully partnered many dogs with veterans, but we need your help to continue!"
A Veteran's Best Friend,Arkansas,http://servicedog4ptsd.org/,A Christian ministry providing service dog training for injured Arkansas veterans at no cost for the veteran.
Awesome Greyhound Adoptions Hounds and Heroes Program,Southeast Florida,http://www.awesomegreyhoundadoptions.org/,"Awesome Greyhound Adoptions (AGA) Inc. is proud to present the Hounds and Heroes program where greyhounds (and their prospective owners) are given intensive training to seamlessly work together. The fully trained service dogs are then DONATED to their selected veterans. Hounds and Heroes service dogs are trained for Mobility Assistance, MS, Parkinson's, PTSD, TBI, and other issues that affect the returning warrior. AGA’s Hounds and Heroes has been placing trained greyhound service dogs with veterans since May 2011. "
Brothers and Sisters in Arms Dog Training,"Leesville, LA",http://www.brotherandsisterptsddogs.org/,"Brothers and Sisters in Arms Dog Training, Inc. is focused on providing high-quality trained service dogs to qualified active duty military members, military veterans, first responders, and their special-needs dependents. We do work with civilians on a case to case basis due to available trainers The mission of the Training Dogs - Saving Warriors is to unite individuals impacted by Post-traumatic Stress Syndrome (PTSD), traumatic brain injury (TBI), Military Sexual Trauma (MST), autism, epilepsy, mobility, diabetes, developmental disabilities, or other mental health problems with dogs rescued from shelters.   These dogs are evaluated by a certified trainer and deemed viable to nurture a healing and rejuvenating bond. The result is a positive, non-judgmental, unconditional relationship, desperately needed by both.  Our services are free to veterans, active duty Soldiers, first responders, and their special needs family members."
Canine Angels,"Myrtle Beach,  South Carolina and surrounding areas, from Georgetown to Wilmington, North Carolina",http://canineangelsusa.org/,"Our mission is to save dogs from our local shelters, obedience train and place them in foster homes for socialization and advanced training, and to certify them as working service dogs. We then donate them to our disabled American veterans for free!"
Canine Battle Buddies for Wounded Warriors,"El Paso, TX and Shreveport, LA",https://www.facebook.com/CanineBattleBuddiesforWoundedWarriorsServiceDogs,"We are a volunteer run organization providing Service Dog Public Access training LOCALLY ONLY for Veterans with PTSD in the El Paso, TX and Shreveport, LA."
Canine Companions for Independence,Regional centers across the U.S.,http://www.cci.org/site/c.cdKGIRNqEmG/b.3978475/k.BED8/Home.htm,"Canine Companions for Independence® provides highly-trained assistance dogs for children and adults with disabilities, free of charge. The most advanced technology capable of transforming the lives of people with disabilities has a cold nose and a warm heart!"
Canine Partners for Life,Pennsylvania,http://www.k94life.org/html/at_a_glance.htm,"Canine Partners For Life (CPL) is a non-profit organization dedicated to training service dogs, home companion dogs, and residential companion dogs to assist individuals who have a wide range of physical and cognitive disabilities. Based in Cochranville, Pennsylvania, CPL places service dogs nationwide. Home companion dogs are generally placed within a 250-mile radius of the campus (sometimes further) and residential companions are place within a 100-mile radius of the campus.  Each CPL dog receives a comprehensive and customized training program to meet the specific needs of their human partner. Depending on the assigned program, the dog will receive up to two years of training before being trained to work with its person. CPL has one of the strongest follow-up programs in the industry to ensure the success of each team throughout the lifetime of the partnership. "
Canines and Heroes for Independence (Brigadoon),"Bellingham, WA",http://www.brigadoondogs.org/,"Brigadoon is honored to introduce a program for veterans who suffer from Post Traumatic Stress Disorder (PTSD) and or Traumatic Brain Injury (TBI). The veterans who are diagnosed with these conditions have a difficult time handling the stress and the memories of the event which impacted their ability to perform day to day functions, interact normally with family and friends, and maintain gainful employment.   The name of this program is CHI – Canines and Heroes for Independence. When teamed with a well-mannered service dog the veteran is able to receive a vitally important reality affirmation when the dog is summoned. Tactile stimulation can be very calming under stressful situations. The dog can be trained to nudge his partner to “snap” the veteran out of a frozen moment caused by anxiety or wake him up while having nightmares, or night terrors by turning on a light. The veteran can give a cue for the dog to stand between himself and other people to feel more comfortable in public places."
Canines for Veterans (Canines for Service),National program,http://www.caninesforservice.org/CCV.php,Canines for Veterans is a national program that provides veterans with disabilities quality trained service dogs. The program works with military prisoners at the Naval Consolidated Brig Charleston and teaches them how to train rescue dogs as service dogs for the wounded and injured veteran. Know as the “triple win” the Canines for Veterans program has twice been awarded a Newman’s Own Award for program innovations supporting our military and their families and has  recently been approved by the US Department of Labor as an apprenticeship program. 
Circle of Change,Illinois,http://circle-of-change.org/home/,"Circle of Change seeks to help veterans who suffer from the effects of traumatic events by providing both dog training and handling experiences in order to develop confidence, respect, and trust, thereby improving the veterans’ quality of life, self esteem and social skills."
Companions for Heroes,Nationwide,http://companionsforheroes.org/,"Companions for Heroes provides companion animals and skilled companion dogs, obtained from shelters and/or rescues, free of charge (after reimbursement) to active duty military personnel, military veterans, and first-responders recovering from the psychological challenges they suffered during service to our country. Companions for Heroes increases public awareness of Post Traumatic Stress Disorder (PTSD), traumatic brain injury (TBI) and other challenges confronting our country’s heroes; and rally’s support for animal welfare and the adoption of shelter and/or rescue animals."
DAWG Foundation,"Houston, TX",http://www.dawgfoundation.com/,"The DAWG Foundation was formed with the mission of providing a companion canines for US military veterans (and select First Responders) battling PTSD. The companion canine will be well trained by DAWG Foundation-approved trainers, and will provide everything from simple companionship and emotional support to limited mobility/distress assistance (an example of this would be when the veteran is in a crowded venue, and begins to feel overwhelmed. The companion canine can recognize the stress, and either enter into a comfort mode ‘leg hug’, or begin to lead the veteran towards the nearest exit to open, fresh air). The veterans will also require specialized vetting and training, to verify suitability for the program."
DFW Canine Rescue & Service Dogs,North Texas,http://caposellophotography.wix.com/dfwcaninesd#!service-dogs/c24vq,"We offer Mobility Assistance Service Dogs to disabled people & PTSD Dogs to Military Veterans. We offer two different programs for Service Dog Training. And we now offer Service Dog Certifications! We work with many different dog breeds including pure & mixed dogs. Lots of our service dogs are rescues that just needed a job! We do not discriminate against breeds of dogs, rather the dogs ability of the dog to learn and cope with the duties of a service dog. We make every effort in matching up the needs of the client to the abilities of their future partner. Having a service dog has given me my life back, self confidence and mobility to do things again. This is why we started this program, we feel everyone should have a service dog that needs one! At DFW Canine Rescue & Service Dogs we understand the importance of having a service dog because I am disabled myself! Let our trainers get you back on the path to freedom! "
Doggoneexpress,"Chase, LA",http://doggoneexpress.com/programs/companions.html,"Our mission is to provide services to shelters and rescue groups for training and transporting adoptable dogs. One of our projects includes Companions for Life, a training program to provide service dogs to returning soldiers and others with needs for the physical or emotional support a dog can offer."
Dogs for our Brave,"St. Louis, MO",http://www.operationwearehere.com/VeteransDayPromotions.html,"Our mission is to provide professionally trained service and companion dogs at no cost to veterans who have suffered debilitating injury or illness while in service to our country. Our goal is to use rescue dogs at every opportunity, thus saving two lives at once. In order to fully realize our mission without adding financial burden, we also provide a continuum of free support that covers all food, veterinary care, and pharmaceuticals for the life of the dog."
Dogs for Heroes,None,https://www.facebook.com/Dogs-For-Heroes-Inc-FL-1486746298313759/,"Our mission to take in rescued Pitty/Bully Breeds, train them as companion, therapy, and service dogs for veterans with PTSD."
Dogs of Honor,None,http://www.dogsofhonor.us/,"The mission of Dogs of Honor is to inspire hope and provide relevant information to veterans in need. Dogs of Honor.US has been created to raise awareness, support our warriors, and provide relevant information that can provide and direct veterans with PTSD toward a world of realistic treatment options. In this case, the use of canines that can unconditionally connect with the veterans and help shepherd them back into the America they volunteered to defend."
Dog Tags (Puppies Behind Bars),"New York, NY",http://www.puppiesbehindbars.com,"Dog Tags: Service Dogs for Those Who’ve Served Us was established by Puppies Behind Bars to provide service dogs to veterans returning home from Iraq (OIF) and Afghanistan (OEF) who have suffered a physical injury, traumatic brain injury (TBI) or exhibit Post Traumatic Stress Disorder (PTSD). Puppies Behind Bars provides service dogs to veterans completely free of charge."
Dog T.A.G.S. Program,Pennsylvania,http://www.dogtagsprogram.org/,"Dog T.A.G.S. (Train Assist Guide Serve) is a service dog owner training program for veterans suffering from PTSD (Post Traumatic Stress Disorder) and TBI (Traumatic Brain Injury). The veteran trains his/her personal dog with the help of experienced dog trainers. We have veterans who have served in conflicts ranging from Vietnam to present day Iraq and Afghanistan. Dog T.A.G.S. was incorporated on December 6, 2012. The Founders of the organization are all veterans suffering from combat caused PTSD who knew the need for a program like this to help them heal. The program meets one day every week for two hours at the OTCH Dog Training Club located at 1 Souder Court, Mechanicsburg, PA 17050. The veterans have the opportunity to share their thoughts in a group setting with a social worker and then train their dogs to become their service dogs with qualified trainers to instruct and review training tasks."
Fidelco Guide Dog Foundation,Nationwide and Canada,http://www.fidelco.org/,"The Fidelco Guide Dog Foundation, Inc. is dedicated to promoting increased independence to men and women who are blind by providing them with the highest quality guide dogs. We are a non-profit organization based in Bloomfield, CT. We breed, train and place our own, unique type of German Shepherd guide dogs with people who have visual disabilities."
4 Paws for Ability,"Xenia, OH",http://www.4pawsforability.org/vets.html,"To honor the many service men and women who are still suffering from the conflicts of war, 4 Paws for Ability will be making service/assistance dogs available to help them lead a more independent life. A special fundraising effort is being launched to be able to place dogs free to selected disabled Veterans of the most recent wars on terror stemming from the tragic events of 9-11.  While other organizations are assisting veterans with brain injuries and loss of sight, 4 Paws has selected to assist Veterans with mobility problems or hearing loss resulting from combat injuries. The disability may be a loss of a limb, balance issues, spinal injury, deafness, or other."
4 Paws for Patriots,"Winchester, CA",http://4paws4patriots.org/,"4 Paws 4 Patriots is a 501(c)(3) (pending) non-profit organization established to provide free service dogs to disabled veterans across the United States. We utilize various resources including staff trainers, contract trainers and local animal shelters to provide service dogs, training, and equipment to Disabled American Veterans across the country."
